Name,Lat,Lon,Category
Wahroonga,-33.7175388,151.1169979,Station
Warnervale Station,-33.2475032,151.4486303,Station
Warwick Farm,-33.9133304,150.9351023,Station
Waverton,-33.8380922,151.1976471,Station
Woy Woy,-33.4858799,151.3231381,Station
Wynyard,-33.8659903,151.2058096,Station
Yennora,-33.8646287,150.9711499,Station
Stanwell Park,-34.226379,150.9811052,Station
Towradgi,-34.3840503,150.9015312,Station
Schofields,-33.7043304,150.8737724,Station
Chester Hill,-33.8835449,150.9994175,Station
Springwood,-33.6987482,150.5639732,Station
Rhodes,-33.8304008,151.0870609,Station
Marion,-33.8839739,151.145122,Station
Taverners Hill,-33.8891648,151.1452623,Station
Hawthorne,-33.879569,151.1472257,Station
Leichhardt North,-33.8749849,151.1541434,Station
Edmondson Park,-33.9692716,150.858626,Station
Yagoona,-33.9067491,151.0243075,Station
Morisset,-33.1090883,151.4879121,Station
Dora Creek,-33.0837216,151.5009464,Station
Hornsby,-33.7034849,151.0983925,Station
Lisarow,-33.3822108,151.3699831,Station
Casula,-33.9501572,150.9118445,Station
Wiley Park,-33.9229545,151.067336,Station
Granville,-33.8330942,151.0124059,Station
Newtown,-33.8979176,151.1796131,Station
Macdonaldtown,-33.8969053,151.1858923,Station
North Sydney,-33.8412146,151.2074639,Station
Seven Hills,-33.7743672,150.9362605,Station
Dulwich Hill,-33.9103059,151.1400503,Station
Dulwich Grove,-33.9050316,151.1390454,Station
Arlington,-33.9018878,151.1381029,Station
Waratah Mills,-33.8987942,151.1401465,Station
Lewisham West,-33.893838,151.1434089,Station
Lilyfield,-33.874167,151.1650692,Station
Rozelle Bay,-33.8718655,151.1727203,Station
Jubilee Park,-33.8754286,151.1787216,Station
Wentworth Park,-33.8743907,151.1940407,Station
Bank Street,-33.8709375,151.1924379,Station
John Street Square,-33.8674297,151.1920361,Station
The Star,-33.8676611,151.1952923,Station
Pyrmont Bay,-33.8694257,151.1975783,Station
Convention,-33.8725775,151.1980698,Station
Exhibition Centre,-33.8772478,151.1996527,Station
Paddy's Markets,-33.8793182,151.2027158,Station
Capitol Square,-33.8798044,151.2056706,Station
Central Grand Concourse,-33.8824091,151.2067227,Station
Chatswood,-33.7974806,151.180939,Station
Epping,-33.7728628,151.0820902,Station
Meadowbank,-33.8159137,151.0900998,Station
Belmore,-33.9171961,151.0887104,Station
Roseville,-33.7843685,151.1775506,Station
Lindfield,-33.7756095,151.1692144,Station
Croydon,-33.8832296,151.1155955,Station
North Strathfield,-33.8590236,151.0881331,Station
Mascot,-33.9231912,151.1872655,Station
Narwee,-33.9475765,151.0702555,Station
Panania,-33.9543358,150.9978399,Station
East Hills,-33.9618532,150.9846273,Station
Sydenham,-33.9147428,151.1661069,Station
Bexley North,-33.9375479,151.1134896,Station
Beverly Hills,-33.9490787,151.0810471,Station
Martin Place,-33.8678177,151.210759,Station
Lakemba,-33.9201175,151.0758653,Station
Liverpool,-33.9245421,150.9276398,Station
Harris Park,-33.8233375,151.0076541,Station
Westmead,-33.8084959,150.9880176,Station
Homebush,-33.8668117,151.0864608,Station
Stanmore,-33.8945133,151.1639072,Station
Lewisham,-33.8933685,151.1476275,Station
Woolooware,-34.0476621,151.1440873,Station
Caringbah,-34.0415962,151.1227396,Station
Gymea,-34.0348927,151.0855146,Station
Cronulla,-34.0557283,151.1514553,Station
Banksia,-33.9453399,151.140407,Station
Rockdale,-33.9518729,151.1368534,Station
Arncliffe,-33.936435,151.1473489,Station
Oatley,-33.9805174,151.0790256,Station
Jannali,-34.015952,151.06463,Station
Sutherland,-34.0316252,151.0572738,Station
Penrith,-33.7499883,150.696094,Station
Mount Colah,-33.6719686,151.1145291,Station
Pymble,-33.7447018,151.1419726,Station
Berala,-33.8719154,151.0322942,Station
Regents Park,-33.8828393,151.0242784,Station
Villawood,-33.8808812,150.9761642,Station
Bankstown,-33.917844,151.0346402,Station
Campsie,-33.9105708,151.1026511,Station
Canterbury,-33.9119882,151.1186885,Station
Dulwich Hill,-33.9110089,151.140913,Station
Erskineville,-33.9009517,151.1852676,Station
Tramway Avenue,-33.817206,151.0185111,Station
Robin Thomas,-33.8169223,151.0112047,Station
Parramatta Square,-33.815554,151.0051301,Station
Church Street,-33.8129468,151.0036168,Station
Prince Alfred Square,-33.8090725,151.0052567,Station
Fennell Street,-33.8051861,151.0058333,Station
Benaud Oval,-33.800814,151.0045582,Station
Ngara,-33.8014592,151.0013831,Station
Childrens Hospital,-33.802589,150.9930356,Station
Westmead Hospital,-33.804709,150.9900754,Station
Bargo,-34.2910963,150.580115,Station
Fairy Meadow,-34.395368,150.8963847,Station
Wyee,-33.1803459,151.4871062,Station
