Name,Lat,Lon,Category
McCallums Hill Public School,-33.934891,151.084758,School
Como West Public School,-34.004744,151.060505,School
Pagewood Public School,-33.942104,151.214172,School
Grays Point Public School,-34.058656,151.0723,School
Crown Street Public School,-33.882253,151.21522,School
Tempe Public School,-33.920935,151.160994,School
Marrickville West Public School,-33.914468,151.145073,School
Marrickville Public School,-33.906705,151.162658,School
Waverley Public School,-33.898174,151.251539,School
Woolooware Public School,-34.045454,151.146233,School
Caringbah North Public School,-34.036574,151.123079,School
Jannali East Public School,-34.019152,151.07232,School
Peakhurst West Public School,-33.962021,151.049429,School
Sylvania Heights Public School,-34.012724,151.097344,School
Penshurst West Public School,-33.962115,151.072176,School
Matraville Soldiers Settlement Public School,-33.958039,151.239995,School
Kirrawee Public School,-34.033467,151.07749,School
Illawong Public School,-33.999133,151.042689,School
Lilli Pilli Public School,-34.066592,151.118387,School
Miranda North Public School,-34.031992,151.11273,School
Yowie Bay Public School,-34.048155,151.102761,School
Erskineville Public School,-33.900881,151.186112,School
Loftus Public School,-34.046979,151.048886,School
Laguna Street Public School,-34.04634,151.11285,School
Randwick Public School,-33.910645,151.241714,School
Burraneer Bay Public School,-34.051026,151.132781,School
Engadine West Public School,-34.059519,151.002566,School
Yarrawarrah Public School,-34.056574,151.026137,School
Chifley Public School,-33.96583,151.242158,School
Peakhurst South Public School,-33.972923,151.055986,School
Lewisham Public School,-33.897746,151.146076,School
Gymea North Public School,-34.026457,151.088321,School
Marton Public School,-34.046492,151.024232,School
Kareela Public School,-34.012894,151.081991,School
Dulwich Hill Public School,-33.906163,151.140287,School
Petersham Public School,-33.895647,151.150175,School
Bonnet Bay Public School,-34.012607,151.056257,School
Eastlakes Public School,-33.928065,151.213836,School
Bangor Public School,-34.019534,151.029118,School
Wilkins Public School,-33.901967,151.155086,School
Plunkett Street Public School,-33.870879,151.22024,School
Tharawal Public School,-34.003289,151.025929,School
Sydney Distance Education Primary School,-33.88627,151.212706,School
Alfords Point Public School,-33.992403,151.02399,School
Canterbury South Public School,-33.917776,151.116013,School
Ferncourt Public School,-33.921393,151.151497,School
Heathcote East Public School,-34.082071,151.020259,School
Yudi Gunyi School,-33.904025,151.203108,School
St George School,-33.969055,151.137532,School
Cook School,-34.041709,151.052545,School
Cairnsfoot School,-33.95457,151.152168,School
Woniora Road School,-33.971003,151.103173,School
Minerva School,-34.034965,151.058739,School
Wairoa School,-33.886632,151.278496,School
Bates Drive School,-34.022243,151.08527,School
Carinya School,-33.973766,151.082222,School
