@lat,@lon,name,brand
-33.7661197,150.8210589,Coles,Coles
-33.7433082,150.9233881,Coles,Coles
-34.0160052,151.0660093,Woolworths,Woolworths
-33.9369318,150.8457869,Woolworths,Woolworths
-34.0481635,150.7596670,Woolworths,Woolworths
-34.0504620,150.7554712,Coles,Coles
-34.0419437,150.7384975,Woolworths,Woolworths
-34.0391422,150.7374799,Coles,Coles
-34.4241620,150.8924763,Coles,Coles
-34.4862559,150.8885311,Coles,Coles
-33.8642366,150.9388534,Woolworths,Woolworths
-33.5955212,150.7494905,Coles,Coles
-33.7298013,151.1598144,Woolworths,Woolworths
-33.9048457,151.2131902,Coles,Coles
-33.8794577,151.2368122,Coles,Coles
-33.1882490,151.5591909,Woolworths,Woolworths
-33.9412118,151.1000472,Woolworths,Woolworths
-33.8838408,151.1932625,Coles,Coles
-33.8997080,150.9932269,Woolworths Bass Hill,Woolworths
-33.8924460,151.0616339,Woolworths Chullora,Woolworths
-33.6010009,150.7531140,Woolworths,Woolworths
-33.7728999,150.9711110,Coles Winston Hills,Coles
-33.8600863,150.8977335,Woolworths,Woolworths
-33.8067023,151.0882400,Woolworths,Woolworths
-34.0302192,150.8495955,Woolworths,Woolworths
-33.8057925,151.0879015,Coles,Coles
-34.4471104,150.4389648,Woolworths,Woolworths
-33.8785274,151.2437680,Woolworths,Woolworths
-33.8313696,151.1279539,Coles,Coles
-33.9872443,150.8909891,Woolworths,Woolworths
-33.8490044,151.0479237,Woolworths Lidcombe,Woolworths
-33.8810537,151.2027041,Woolworths,Woolworths
-33.8847889,151.2006390,Woolworths Metro,Woolworths Metro
-33.7703388,150.9071803,Woolworths,Woolworths
-33.9069731,150.8678055,Coles,Coles
-33.9078123,150.8676258,Woolworths,Woolworths
-33.8708590,151.2684341,Woolworths Metro,Woolworths Metro
-33.8837104,151.2084909,Woolworths Metro,Woolworths Metro
-33.8738128,151.2162076,Woolworths Metro,Woolworths Metro
-33.7326254,150.7817723,Coles,Coles
-34.0329589,150.8164863,Woolworths,Woolworths
-33.8891623,151.2755238,Woolworths Metro,Woolworths Metro
-33.8916330,151.2515022,Woolworths,Woolworths
-33.8929814,151.2508270,Coles,Coles
-33.7460229,150.8361623,Woolworths,Woolworths
-33.7038510,150.8759113,Woolworths,Woolworths
-33.9684191,151.0648948,Woolworths,Woolworths
-33.8392858,151.2089699,Coles,Coles
-33.8679205,150.9230191,Coles,Coles
-33.9229274,151.1858394,Woolworths,Woolworths
-33.8274991,151.2016989,Woolworths,Woolworths
-33.7060477,150.9114223,Woolworths,Woolworths
-33.8727087,151.0930478,Woolworths Strathfield,Woolworths
-34.0282621,150.7339588,Coles,Coles
-33.7972090,151.1828281,Coles Local,Coles Local
-33.8655396,151.2778593,Coles,Coles
-33.7451415,151.0302737,Woolworths,Woolworths
-33.9413484,151.2389060,Coles,Coles
-33.8653140,151.2026518,Woolworths Metro,Woolworths Metro
-33.9200959,151.2538217,Woolworths,Woolworths
-33.7989581,151.2852807,Coles Local,Coles Local
-33.9527939,151.0512303,Woolworths,Woolworths
-33.7434269,150.9223303,Woolworths,Woolworths
-33.9027374,151.1946733,Woolworths,Woolworths
-33.6860202,150.9513799,Woolworths,Woolworths
-33.8930023,151.2482435,Coles,Coles
-33.9125035,151.1180258,Woolworths,Woolworths
-33.9232794,151.1018842,Coles,Coles
-33.4464514,151.3733425,Coles,Coles
-33.8135343,151.1692596,Coles,Coles
-34.0345703,151.1028151,Coles,Coles
-33.8378122,151.2069382,Woolworths Metro,Woolworths Metro
-33.9061256,151.2044827,Woolworths Metro,Woolworths Metro
-33.9965386,150.7920619,Woolworths,Woolworths
-33.9532004,151.0145250,Coles,Coles
-33.9963733,150.8669353,Coles,Coles
-33.3454432,151.4961917,Coles,Coles
-33.7204955,151.0441490,Woolworths Cherrybrook Village,Woolworths
-33.9511631,151.2305818,Woolworths,Woolworths
-34.0334396,151.0732731,Coles,Coles
-33.7873563,150.6682155,Coles,Coles
-33.7530672,151.2876039,Woolworths,Woolworths
-33.6539986,151.3213907,Coles,Coles
-33.3082291,151.4148188,Woolworths,Woolworths
-33.3079881,151.4099597,Coles,Coles
-33.9519100,150.8553215,Woolworths,Woolworths
-33.9762791,150.8123905,Coles,Coles
-34.0699631,150.7286456,Woolworths,Woolworths
-33.4883964,151.3235683,Coles,Coles
-34.0178858,151.0805261,Coles,Coles
-33.6932248,151.0183030,Woolworths,Woolworths
-33.2834061,151.4232450,Coles,Coles
-33.9660028,151.1062410,Woolworths,Woolworths
-33.8244009,151.0790184,Coles,Coles
-33.9578094,151.2313441,Woolworths,Woolworths
-33.8180336,151.0029769,Woolworths Parramatta,Woolworths
-33.8176983,150.9999003,Coles Parramatta,Coles
-33.8175801,151.0044795,Woolworths Parramatta Station (Metro),Woolworths
-33.8231420,151.2011466,Coles,Coles
-33.9548008,150.9440374,Coles,Coles
-33.8693268,151.2081628,Woolworths Metro,Woolworths Metro
-33.8774571,151.1019714,Woolworths Burwood Plaza,Woolworths
-33.7492979,151.0646824,Woolworths,Woolworths
