@id,@lat,@lon,name
1886255316,-33.9519026,151.0323311,Padstow
1886255318,-33.8015021,150.9564483,Pendle Hill
1886255319,-34.1790138,150.6126005,Picton
1886255320,-33.7277275,150.8864823,Quakers Hill
1886255321,-33.9525282,151.0149093,Revesby
1886255322,-33.6791159,150.8602876,Riverstone
1886255323,-33.9515059,151.0521177,Riverwood
1886255324,-33.7620938,150.7751625,St Marys
1886255325,-33.9245392,151.1564329,Tempe
1886255326,-33.7874687,150.9514631,Toongabbie
1886255327,-33.9299188,151.1399608,Turrella
1886255328,-33.7044936,150.5838711,Valley Heights
1886255329,-33.6504037,150.8511233,Vineyard
1886255330,-33.7212855,150.6023458,Warrimoo
1886255331,-33.7592193,150.7579395,Werrington
1886255332,-33.9285225,151.1539888,Wolli Creek
1886255333,-33.7354736,150.4821925,Woodford
1886265349,-33.6235384,151.1531676,Berowra
1886265350,-33.8933152,151.0240303,Birrong
1886265353,-33.8872029,150.9436605,Canley Vale
1886265354,-33.8843192,150.9615133,Carramar
1886265357,-33.9722422,150.8930882,Glenfield
1886265358,-33.4234169,151.3417528,Gosford
1886265359,-33.8543165,150.9844864,Guildford
1886265361,-33.8815246,150.9852256,Leightonfield
1886265363,-33.9847895,150.8789007,Macquarie Fields
1886265369,-33.8852552,151.0114843,Sefton
1886265373,-33.7175388,151.1169979,Wahroonga
1886265374,-33.2475032,151.4486303,Warnervale Station
1886265375,-33.9133304,150.9351023,Warwick Farm
1886265376,-33.8380922,151.1976471,Waverton
1886265378,-33.4858799,151.3231381,Woy Woy
1886265379,-33.8659903,151.2058096,Wynyard
1886265380,-33.8646287,150.9711499,Yennora
1936573624,-34.2263790,150.9811052,Stanwell Park
1937098028,-34.3840503,150.9015312,Towradgi
2130285345,-33.7043304,150.8737724,Schofields
2267841195,-33.8835449,150.9994175,Chester Hill
2393270560,-33.6987482,150.5639732,Springwood
2689168291,-33.8304008,151.0870609,Rhodes
2746819425,-33.8839739,151.1451220,Marion
2746819429,-33.8891648,151.1452623,Taverners Hill
2746819433,-33.8795690,151.1472257,Hawthorne
2746819434,-33.8749849,151.1541434,Leichhardt North
3337544919,-33.9692716,150.8586260,Edmondson Park
3754231421,-33.9067491,151.0243075,Yagoona
3996291865,-33.1090883,151.4879121,Morisset
4060581222,-33.0837216,151.5009464,Dora Creek
4329364693,-33.7034849,151.0983925,Hornsby
4419730491,-33.3822108,151.3699831,Lisarow
4688058740,-33.9501572,150.9118445,Casula
4689599828,-33.9229545,151.0673360,Wiley Park
4692878089,-33.8330942,151.0124059,Granville
4735625743,-33.8979176,151.1796131,Newtown
4735626773,-33.8969053,151.1858923,Macdonaldtown
4887412745,-33.8412146,151.2074639,North Sydney
5253376705,-33.7743672,150.9362605,Seven Hills
5692088706,-33.9103059,151.1400503,Dulwich Hill
5692088707,-33.9050316,151.1390454,Dulwich Grove
5692088708,-33.9018878,151.1381029,Arlington
5692088709,-33.8987942,151.1401465,Waratah Mills
5692088710,-33.8938380,151.1434089,Lewisham West
5692088714,-33.8741670,151.1650692,Lilyfield
5692088717,-33.8718655,151.1727203,Rozelle Bay
5692088718,-33.8754286,151.1787216,Jubilee Park
5692088720,-33.8743907,151.1940407,Wentworth Park
5692089421,-33.8709375,151.1924379,Bank Street
5692089422,-33.8674297,151.1920361,John Street Square
5692089423,-33.8676611,151.1952923,The Star
5692089424,-33.8694257,151.1975783,Pyrmont Bay
5692089425,-33.8725775,151.1980698,Convention
