Postcode,Distance_to_CBD,Dist_to_Station,Dist_to_Market,Dist_to_School,Is_Premium_Area
2000,2.5271723011119134,0.7230862844686012,0.5423801559452429,0.3027622026005645,1
2007,0.891637302096602,0.7064608868219903,0.3210834795886396,0.527368596323632,0
2008,1.470024206920955,0.9753053464882165,0.560654430624356,0.4446496676772298,1
2009,1.7841274746882836,0.06518543298252562,0.11070007317426304,0.6150853510055199,1
2010,0.5669643563332518,0.5456984899419697,0.3511639780926317,0.24273500360084624,1
2011,1.753038275368966,0.11350556186055927,0.13508100625793448,0.28939803554088195,0
2015,3.2060083764524356,0.8260690561520957,0.8007701898939863,1.0066803565813114,1
2016,1.3360760978383204,1.3028624405832758,0.12528217409504533,0.6164205036093016,1
2017,2.334863850556987,0.44058616582594945,0.3006024522787247,0.296515584496167,1
2018,4.505837542655106,1.424287110101085,0.8587076547666579,0.466750827705013,1
2019,7.121624511705513,2.850656879719314,1.5552794764487798,0.7606725140409507,0
2020,6.522708483003854,0.4725792494100676,1.694768526908248,1.6783374017315718,1
2021,2.4010691117635448,2.007251535233161,1.2959164158292293,0.6557982747594853,1
2022,3.8800807176885908,0.654245469900938,0.4794661887406123,0.6307893993562264,1
2023,4.585127835764686,1.0029200230215598,0.8734154301346638,0.439908380862939,1
2024,5.454677028924803,1.7792367702211775,0.3505819700783535,0.3454371756657493,1
2025,3.2240109104603563,0.7859732748020735,0.8590841563922832,0.2668061936454071,1
2026,5.8567663186768675,1.894074222825801,0.633153755328416,0.42718612739118295,1
2027,4.365241541964333,1.7499575289228486,1.2310046878031289,1.101950413832303,1
2028,3.239644254904241,0.45527015647903957,0.2591486984408104,0.39568642401208903,1
2029,5.660909882669473,2.431877490666351,0.5557098214234745,0.47398821833072285,1
2030,6.988927408810208,4.349980919789053,0.8153093758411621,1.0009104033584335,1
2031,4.671336260095147,2.7602794269177506,1.4739094967434745,0.46957711485488735,1
2032,5.519256925583832,3.3365251059191148,1.2967433890568698,0.3831693058290727,0
2033,3.361053371622559,1.5857130119435199,0.874206686334559,0.6346605519300461,1
2034,6.658229572435108,4.224211865237442,1.0125745575392053,0.5034426977351251,1
2035,7.6890629988210515,5.575718444605722,0.5251598414214301,0.6571852658026299,1
2036,10.075732662239902,6.607387680863922,1.4444325962906719,0.5800352693636026,1
2037,2.039453908025302,0.7481814347052,0.9093111236405321,0.3446513723717494,1
2038,3.339666248040658,0.953602543485123,1.2143127024702633,0.4414607432584407,0
2039,3.6245200870715606,0.5256601193142597,1.3388688608181896,0.5499803123815574,1
2040,4.5920634322601614,0.48853340469840206,0.8508311229055648,0.21574416710617567,0
2041,3.631566660498097,1.4800246604920033,0.12233809020614933,0.31424427953286704,1
2042,3.4728673657643636,0.49689334616224745,0.8816104017396701,0.3021087521834382,0
2043,3.0414704043418723,0.2911381077982065,0.4910805983563072,0.32259461561329794,1
2044,5.3339974241668475,0.7884242230389937,1.4083338990660565,0.8999096692838998,1
2045,6.256459620165881,0.7893163802925283,0.6668820456374054,0.43273719163226565,0
2046,6.94691652900054,1.9456093299970032,0.48430976044833407,0.6114090453921331,1
2047,4.9418553885641465,2.0972644596827954,0.37835669712601183,0.6470942072205322,0
2048,3.9583019617677597,0.16422043808534728,1.1059934853904874,0.15112417902955694,0
2049,5.361701353256847,0.5214752871075731,1.3858287429585134,0.18562139122743931,0
2050,2.9202488181279618,0.9040236096837981,1.6937013398138214,0.33217096614125474,1
